,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,DefaultData,Latitude,Longitude,ZipCode,log_SiteEnergyUse,log_TotalGHGEmissions
5291,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1960,1.0,53550.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,73.0,4590246.5,174.62,False,47.55601,-122.33627,98134.0,15.33944450215164,5.168322569931849
5290,2016,NonResidential,Distribution Center,2.0,GREATER DUWAMISH,1968,1.0,160000.0,Distribution Center,Distribution Center,94.0,1157976.5,8.07,False,47.55945,-122.33601000000002,98134.0,13.962185506874498,2.2049722641270453
5289,2016,NonResidential,Small- and Mid-Sized Office,3.0,CENTRAL,1999,3.0,31357.0,"Medical Office, Office, Parking",Office,55.0,1965075.625,22.48,False,47.61744,-122.30514,98122.0,14.491041797436159,3.1561489949598958
5286,2016,NonResidential,Small- and Mid-Sized Office,3.0,CENTRAL,1963,2.0,28296.0,Office,Office,80.0,1328461.25,9.26,False,47.59693,-122.31123999999998,98144.0,14.099532628272067,2.3282528397426234
5263,2016,NonResidential,Small- and Mid-Sized Office,2.0,GREATER DUWAMISH,1983,2.0,23687.0,Office,Office,68.0,1084553.75,7.56,False,47.561209999999996,-122.33872,98134.0,13.89668009206884,2.1471001901536506
5285,2016,NonResidential,Small- and Mid-Sized Office,3.0,CENTRAL,1947,1.0,45068.0,Office,Office,100.0,284857.3125,8.59,False,47.59973,-122.31331000000002,98133.0,14.752005111155329,2.2607208888953467
5283,2016,NonResidential,K-12 School,5.0,NORTH,1931,2.0,23923.0,K-12 School,K-12 School,69.0,805643.5,19.51,False,47.69061,-122.31992,98115.0,13.599397857192587,3.0209125720842893
5281,2016,NonResidential,K-12 School,3.0,CENTRAL,1922,2.0,21592.0,K-12 School,K-12 School,47.0,1431784.0,54.24,False,47.596920000000004,-122.30601000000001,98144.0,14.174432475565835,4.0116873285410914
5279,2016,NonResidential,Distribution Center,1.0,GREATER DUWAMISH,1990,1.0,29619.0,"Distribution Center, Office",Distribution Center,50.0,1280263.75,42.45,False,47.52878,-122.32771000000001,98108.0,14.062577450445696,3.7716108517114013
5274,2016,NonResidential,Medical Office,1.0,SOUTHWEST,1984,3.0,40304.0,"Medical Office, Parking",Medical Office,73.0,1961581.5,13.67,False,47.572959999999995,-122.38643,98116.0,14.489262103395491,2.6858045921548905
5271,2016,SPS-District K-12,K-12 School,2.0,GREATER DUWAMISH,1971,2.0,52609.0,K-12 School,K-12 School,67.0,1801941.75,46.51,True,47.55226,-122.29628999999998,98108.0,14.404375946390463,3.86094021519883
5269,2016,NonResidential,Small- and Mid-Sized Office,2.0,GREATER DUWAMISH,1914,3.0,34425.0,"Non-Refrigerated Warehouse, Office",Office,84.0,2018385.75,50.07,False,47.58802,-122.32111,98134.0,14.51780911168181,3.9331972406595526
5268,2016,NonResidential,Other,2.0,GREATER DUWAMISH,1992,3.0,47836.0,"Other - Lodging/Residential, Parking",Other - Lodging/Residential,,3540225.75,109.59,False,47.595490000000005,-122.32538000000001,98134.0,15.079701336730924,4.705829669087269
5267,2016,NonResidential,Small- and Mid-Sized Office,7.0,DOWNTOWN,1906,3.0,32160.0,"Office, Retail Store",Office,,2805826.0,19.56,False,47.6032,-122.33663,98105.0,14.847208884144452,3.0233474405869645
5266,2016,NonResidential,Small- and Mid-Sized Office,7.0,DOWNTOWN,1900,2.0,32027.0,"Office, Retail Store",Office,54.0,3999505.25,128.41,False,47.60546,-122.34091000000001,98101.0,15.20168147396513,4.862985658833579
5265,2016,NonResidential,Mixed Use Property,7.0,DOWNTOWN,1900,2.0,71919.0,"Office, Parking, Retail Store",Office,37.0,5381105.0,37.51,False,47.60546,-122.34091000000001,98101.0,15.498404487218252,3.6509179478268177
5284,2016,NonResidential,Small- and Mid-Sized Office,3.0,CENTRAL,1907,3.0,25200.0,"Office, Retail Store",Office,47.0,1748444.25,37.08,False,47.599759999999996,-122.31441000000001,98144.0,14.374237522441701,3.6396892099231644
5158,2016,NonResidential,Distribution Center,2.0,GREATER DUWAMISH,1952,1.0,41308.0,Distribution Center,Distribution Center,73.0,1642471.5,38.57,False,47.5746,-122.32637,98134.0,14.311713286430573,3.678071255397333
4988,2016,NonResidential,Small- and Mid-Sized Office,5.0,NORTHWEST,1987,3.0,76105.0,Office,Office,91.0,2472350.25,17.24,False,47.708420000000004,-122.3332,98133.0,14.720680178889637,2.9036169846461855
5151,2016,NonResidential,Small- and Mid-Sized Office,7.0,DOWNTOWN,1979,3.0,34030.0,Office,Office,50.0,1748629.875,22.26,False,47.61833,-122.35871000000002,98121.0,14.374343682555773,3.1467351470905185
5041,2016,NonResidential,Small- and Mid-Sized Office,3.0,DOWNTOWN,2001,5.0,70332.0,"Office, Parking",Office,89.0,1981115.25,19.12,False,47.59728,-122.31586999999999,98144.0,14.499171006442532,3.0017143452315387
5039,2016,NonResidential,Small- and Mid-Sized Office,2.0,DOWNTOWN,1988,1.0,45145.0,Office,Office,,1268459.0,43.63,False,47.59721,-122.31838,98144.0,14.053314124217232,3.7984062786411785
5038,2016,NonResidential,Warehouse,3.0,DOWNTOWN,1956,2.0,25840.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,92.0,313528.0938,2.19,False,47.59783,-122.31553999999998,98144.0,14.752005111155329,3.923556241241819
5033,2016,NonResidential,Other,1.0,DELRIDGE,1971,1.0,26232.0,"Office, Other - Services",Other - Services,,3094090.0,122.71,False,47.52956,-122.33592,98108.0,14.945004721447336,4.81794011687474
5032,2016,Campus,Other,1.0,DELRIDGE,2005,1.0,57952.0,Adult Education,Adult Education,,3091387.5,96.15,False,47.51885,-122.33421000000001,98108.0,14.944130900696024,4.576256175823449
5031,2016,NonResidential,Distribution Center,1.0,DELRIDGE,1979,1.0,42900.0,Distribution Center,Distribution Center,53.0,436252.5,3.04,False,47.53158,-122.33568000000001,98108.0,14.752005111155329,3.923556241241819
5030,2016,NonResidential,Medical Office,3.0,EAST,1964,3.0,49250.5,"Medical Office, Other/Specialty Hospital, Outpatient Rehabilitation/Physical Therapy, Parking",Medical Office,60.0,2551022.25,49.58,False,47.62014,-122.31228,98112.0,14.752005111155329,3.923556241241819
5018,2016,NonResidential,Supermarket / Grocery Store,2.0,GREATER DUWAMISH,1965,1.0,21603.0,Supermarket/Grocery Store,Supermarket/Grocery Store,73.0,5833800.0,129.89,False,47.57894,-122.31286999999999,98144.0,15.579179318440646,4.874357275803628
5015,2016,NonResidential,Worship Facility,5.0,NORTHWEST,1965,2.0,44719.0,"Medical Office, Office, Worship Facility",Worship Facility,,1614026.25,53.21,False,47.71745,-122.33221,98133.0,14.294243011188714,3.992865393272247
5012,2016,NonResidential,Hospital,5.0,NORTHWEST,1966,1.0,49250.5,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),85.0,2551022.25,49.58,False,47.71425,-122.33689,98133.0,14.752005111155329,3.923556241241819
5057,2016,SPS-District K-12,K-12 School,2.0,GREATER DUWAMISH,1971,1.0,50546.0,K-12 School,K-12 School,94.0,1155080.5,12.15,True,47.55813,-122.3189,98108.0,13.959681462219159,2.5764217586237734
5011,2016,NonResidential,Medical Office,5.0,NORTHWEST,1979,2.0,34759.0,"Medical Office, Parking",Medical Office,81.0,1633105.375,11.39,False,47.70558,-122.33486,98133.0,14.3059945106761,2.516889695641051
5009,2016,NonResidential,Other,7.0,MAGNOLIA / QUEEN ANNE,1920,2.0,27144.0,Other,Other,,1012024.313,32.58,False,47.63132,-122.34136000000001,98109.0,13.827464141362581,3.5139306516493947
5008,2016,NonResidential,Small- and Mid-Sized Office,1.0,DELRIDGE,1988,2.0,30659.0,"Data Center, Non-Refrigerated Warehouse, Office",Office,88.0,2619088.5,55.85,False,47.53309,-122.33977,98106.0,14.77833729625456,4.040416220196545
5006,2016,NonResidential,Other,1.0,DELRIDGE,1963,1.0,23260.0,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",,1612105.75,52.41,False,47.53366,-122.33733000000001,98108.0,14.293052421940493,3.977997994351679
5004,2016,NonResidential,K-12 School,1.0,DELRIDGE,1924,2.0,42975.0,K-12 School,K-12 School,92.0,959352.0,42.96,False,47.51698,-122.35946000000001,98106.0,13.774014377898675,3.7832801295354206
4999,2016,Nonresidential COS,Other,5.0,NORTH,2005,1.0,30498.0,Other - Recreation,Other - Recreation,,2436063.0,80.19,False,47.70541,-122.32231999999999,98125.0,14.705894180044803,4.396792086874355
4998,2016,NonResidential,Self-Storage Facility,5.0,NORTH,1977,2.0,33344.0,"Office, Parking, Self-Storage Facility",Self-Storage Facility,,123767.2031,0.86,False,47.70782,-122.31873,98125.0,14.752005111155329,3.923556241241819
4997,2016,NonResidential,Medical Office,5.0,NORTH,1988,3.0,28841.0,Medical Office,Medical Office,55.0,1459199.75,33.42,False,47.706759999999996,-122.32263999999999,98125.0,14.193399412282336,3.5386377907833935
4996,2016,NonResidential,Retail Store,5.0,NORTH,1966,1.0,41615.0,Retail Store,Retail Store,69.0,1900006.25,13.25,True,47.70708,-122.32251000000001,98125.0,14.457368259918862,2.6567569067146595
4993,2016,NonResidential,Mixed Use Property,5.0,North,1952,2.0,32009.0,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,,1998725.25,44.28,False,47.70983,-122.31865,98125.0,14.508020660633187,3.8128654338949275
5304,2016,NonResidential,Distribution Center,2.0,GREATER DUWAMISH,1947,1.0,21349.0,"Distribution Center, Office",Distribution Center,70.0,659761.875,17.04,False,47.5822,-122.321,98134.0,13.399635769142947,2.8925915146344776
5010,2016,NonResidential,Other,5.0,NORTHWEST,1970,1.0,23166.0,Other,Other,,3475804.25,184.6,False,47.70969,-122.34557,98133.0,15.061336736755269,5.2235938203521
5157,2016,NonResidential,Restaurant,1.0,SOUTHWEST,1902,2.0,20398.0,"Office, Restaurant",Restaurant,,9313513.0,49.58,False,47.58654,-122.37643999999999,98126.0,16.046977021648352,5.814578192803967
5066,2016,NonResidential,Supermarket / Grocery Store,6.0,BALLARD,1994,1.0,45522.0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,73.0,12250422.0,49.58,False,47.6899,-122.37619,98117.0,16.321071024971086,5.792220611118078
5072,2016,Campus,Other,1.0,GREATER DUWAMISH,1989,2.0,138907.0,Other,Other,,7837692.5,179.55,False,47.57049,-122.34857,98134.0,15.874455152613761,5.196007747723467
5146,2016,NonResidential,Small- and Mid-Sized Office,7.0,MAGNOLIA / QUEEN ANNE,1984,4.0,57110.0,"Office, Parking",Office,69.0,2190460.0,24.31,False,47.62481,-122.35762,98119.0,14.599622581923292,3.2311995745570328
5125,2016,Nonresidential COS,Small- and Mid-Sized Office,2.0,GREATER DUWAMISH,1973,2.0,21315.0,Office,Office,34.0,2796425.0,110.66,False,47.5956,-122.32292,98134.0,14.843852731245175,4.715458539882214
5124,2016,NonResidential,Small- and Mid-Sized Office,2.0,DOWNTOWN,1989,2.0,23472.0,"Office, Other, Retail Store",Office,,1625308.625,46.45,False,47.59727,-122.32196,98104.0,14.301208894057366,3.859676525055937
5123,2016,NonResidential,Mixed Use Property,2.0,DOWNTOWN,1960,2.0,29631.0,"Office, Restaurant, Supermarket/Grocery Store",Supermarket/Grocery Store,,5144392.0,146.93,False,47.59949,-122.31851,98104.0,15.453417941670242,4.996739188904145
